Vételár;Vételár EUR;Évjárat;Állapot;Kivitel;Kilométeróra állása;Szállítható szem. száma;Ajtók száma;Saját tömeg;Teljes tömeg;Csomagtartó;Klíma fajtája;Üzemanyag;Hengerűrtartalom;Teljesítmény;Henger-elrendezés;Hajtás;Sebességváltó fajtája;Okmányok jellege;Műszaki vizsga érvényes;Nyári gumi méret;Leírás;Felszereltség;Cím;Helyiség;Kategória;Márka;Hirdetés feladása;Hirdetés leszedése;Évjárat év;Évjárat hónap;Teljesítmény(LE);Sebességváltó típus;Sebességváltó fokozat;Modellcsoport;Modell;Szín;Alvázszám;Finanszírozás;Kárpit színe (1);Kezdőrészlet;Futamidő;Kárpit színe (2);Egyéb költségek;Fizetendő magyarországi forgalomba helyezés esetén;Tető;Téli gumi méret;Hátsó nyári gumi méret;Hátsó téli gumi méret;Átvehető;Finanszírozás típusa CASCO-val;Futamidő CASCO nélkül;Garancia;Átrozsdásodási garancia;Futásidő;Finanszírozás típusa CASCO nélkül;Bérlési lehetőség;Havi részlet;Szavatossági garancia;Hirdetési idő(nap);Autó kora(nap);Műszaki még érvenyes(nap)
10454693;639000.0;2177.0;2006.02.01;Normál;Sedan;156000.0;5.0;4.0;1050.0;1535.0;510liter;;Benzin;1390.0;55kW,75LE;Soros;Elsőkerék;Manuális(5fokozatú)sebességváltó;Érvényes magyar okmányokkal;2020.02.01;185/65R15;AZ AUTÓ JÓ MŰSZAKI ÉS ESZTÉTIKAI ÁLLAPOTBAN VAN, LÉGZSÁKOK, METÁLFÉNYEZÉS, ABS, KÖZPONTI-ZÁR, RIASZTÓ, RÁDIÓ CD-VEL, JÓ GUMIKKAL, SZÉP SZAKADÁS MENTES PLÜSS ÜLÉSEKKEL, GYÁRI KULCSOKKAL, IGAZI NAGY CSALÁDI AUTÓ, FRISS MŰSZAKIVAL, AZ AUTÓN MINDEN TÖKÉLETESEN MŰKÖDIK;['dönthető utasülések', 'plüss kárpit', 'ülésmagasság állítás', 'deréktámasz', 'utasoldali légzsák', 'vezetőoldali légzsák', 'hátsó fejtámlák', 'állítható kormány', 'pótkerék', 'fényszóró magasságállítás', 'fűthető tükör', 'színezett üveg', 'ABS (blokkolásgátló)', 'EBD/EBV (elektronikus fékerő-elosztó)', 'rablásgátló', 'indításgátló (immobiliser)', 'centrálzár', 'riasztó', 'CD-s autórádió', 'MP3 lejátszás', '6 hangszóró', 'autóbeszámítás lehetséges', 'azonnal elvihető', 'első tulajdonostól', 'garázsban tartott', 'keveset futott', 'nem dohányzó', 'rendszeresen karbantartott', 'szervizkönyv', 'törzskönyv'];5100 JÁSZBERÉNY JÁSZTELKI ÚT 63;;Személyautó;DACIA;2018.07.18;;;;75.0;Manuális;5.0;Nincs;LOGAN;Sötétkék(metál);;;Sötétkék;;;Világosszürke;;;;;185/65R15;;;;;;;;;;;;;-4551 days +05:28:37.661634000;562 days 05:28:37.653341000
10549324;245000.0;759.0;2011.09.01;Sérült;Várositerepjáró(crossover);11111.0;5.0;5.0;1160.0;1710.0;475liter;;Benzin;1598.0;77kW,105LE;Soros;Elsőkerék;Manuális(5fokozatú)sebességváltó;Lejárt magyar okmányokkal;2017.09.01;215/65R16;magyarországi törött dacia duster eladó. Rendszámai megvannak, okmányai rendezettek, sajat tulajdon, adásvételi szerződéssel, 245.000.- forintos irányáron a képeken látható törött állapotban eladó. érdeklődni a megadott telefonszámon lehet.;['utasoldali légzsák', 'vezetőoldali légzsák', 'vonóhorog'];Budapest XVII.;;Személyautó;DACIA;2018.07.18;;;;105.0;Manuális;5.0;Nincs;DUSTER;;;;;;;;;;;;;;;;;;;;;;;;;-2513 days +05:28:37.661634000;-321 days +05:28:37.653341000
10649540;2199990.0;6951.0;2013.07.01;Megkímélt;Sedan;112000.0;5.0;4.0;1059.0;1590.0;510liter;Manuálisklíma;Dízel;1461.0;55kW,75LE;Soros;Elsőkerék;Manuális(5fokozatú)sebességváltó;Érvényes magyar okmányokkal;;185/65R15;AZ AUTO KILÓMÉTER ÓRA ÁLLÁSÁÉRT FELELŐSSÉGET VÁLLALUNK! NEM ENGEDÜNK TELEPHELYÜNKRE KÉTES EREDETŰ, NEPPEREK ÁLTAL FORGALMAZOTT AUTÓKAT. Nincs lehetetlen csak tehetetlen! Saját szervIz, INGYENES garancia szolgáltatással.;['dönthető utasülések', 'ülésmagasság állítás', 'deréktámasz', 'ISOFIX rendszer', 'kikapcsolható légzsák', 'utasoldali légzsák', 'vezetőoldali légzsák', 'hátsó fejtámlák', 'állítható kormány', 'pótkerék', 'ködlámpa', 'elektromos ablak elöl', 'színezett üveg', 'ABS (blokkolásgátló)', 'ESP (menetstabilizátor)', 'indításgátló (immobiliser)', 'fékasszisztens', 'centrálzár', 'szervokormány', 'CD-s autórádió', 'autóbeszámítás lehetséges', 'első tulajdonostól', 'garázsban tartott', 'keveset futott', 'nem dohányzó', 'rendszeresen karbantartott', 'szervizkönyv', 'törzskönyv'];6600Szentes Vásárhelyi út 133;Szentes;Személyautó;DACIA;2018.07.18;;;;75.0;Manuális;5.0;Nincs;LOGAN;Fehér;;;;;;;;;;;;;;;;;;;;;;;;-1844 days +05:28:37.661634000;
10910393;89000.0;276.0;2005.06.01;Sérült;Sedan;80000.0;5.0;4.0;1050.0;1535.0;510liter;;Benzin;1390.0;55kW,75LE;Soros;Elsőkerék;Manuális(5fokozatú)sebességváltó;Lejárt magyar okmányokkal;2017.06.01;165/80R14;1 db indítókulcs. Fix ár;['vezetőoldali légzsák', 'azonnal elvihető', 'hölgy tulajdonostól', 'keveset futott'];Telefonon egyeztetett helyszínen;Kalocsa;Személyautó;DACIA;2018.07.18;;;;75.0;Manuális;5.0;Nincs;LOGAN;;;;;;;;;;;;;;;;;;;;;;;;;-4796 days +05:28:37.661634000;-413 days +05:28:37.653341000
10998327;680000.0;2106.0;2007.10.01;Normál;Sedan;192675.0;5.0;4.0;1065.0;1600.0;510liter;Manuálisklíma;Dízel;1461.0;50kW,68LE;Soros;Elsőkerék;Manuális(5fokozatú)sebességváltó;Érvényes magyar okmányokkal;2019.10.01;165/80R14;Valós km-óra állás. Frissen szervizelve. Az autó már 20%-tól elvihető. Teljeskörű hitelügyintézés. Autóbeszámítás lehetséges. Vállaljuk a komplett átírási ügyintézést (eredetiség vizsgálat, biztosítás kötés, okmányirodai ügyintézés). Kérdés esetén forduljon hozzánk bizalommal. Az adatok tájékoztató jellegűek, kérem megtekintés előtt hívja márkakereskedésünket időpont egyeztetés céljából.;['plüss kárpit', 'ülésmagasság állítás', 'utasoldali légzsák', 'vezetőoldali légzsák', 'állítható kormány', 'pótkerék', 'ködlámpa', 'elektromos ablak elöl', 'vonóhorog', 'ABS (blokkolásgátló)', 'centrálzár', 'szervokormány', 'autóbeszámítás lehetséges', 'azonnal elvihető'];3009 Hatvan - KEREKHARASZT, HERÉDI ÚT 19. M3 50 KM;Kerekharaszt;Személyautó;DACIA;2018.07.18;;;;68.0;Manuális;5.0;Nincs;LOGAN;;;;;;;;;;;;;;;;;;;;;;;;;-3944 days +05:28:37.661634000;439 days 05:28:37.653341000
11795554;2190000.0;6784.0;2011.03.01;Kitűnő;Várositerepjáró(crossover);140500.0;5.0;5.0;1205.0;1755.0;475liter;Manuálisklíma;Dízel;1461.0;79kW,107LE;Soros;Elsőkerék;Manuális(6fokozatú)sebességváltó;Érvényes magyar okmányokkal;2019.06.01;215/65R16;Alacsony fogyasztású, magasfelszereltségű duster keresi új gazdáját. Nagyon szép belső, feszes futómű, megkímélt állapot. Vezetett szervízkönyv. Új akkumlátor. Garantált km futás. Kisebb- nagyobb csere és beszámítás is lehetséges. További információk illetve teljes kínálatunk weboldalunkon megtalálható. Látogass el hozzánk, egyezzünk meg. Címünk: 1116 Bp. Törökverő ut;['dönthető utasülések', 'ülésmagasság állítás', 'függönylégzsák', 'ISOFIX rendszer', 'kikapcsolható légzsák', 'oldallégzsák', 'utasoldali légzsák', 'vezetőoldali légzsák', 'hátsó fejtámlák', 'állítható kormány', 'fedélzeti komputer', 'ABS (blokkolásgátló)', 'ASR (kipörgésgátló)', 'indításgátló (immobiliser)', 'centrálzár', 'riasztó', 'szervokormány', 'részecskeszűrő', 'ködlámpa', 'fényszóró magasságállítás', 'elektromos ablak elöl', 'elektromos tükör', 'könnyűfém felni', 'CD-s autórádió', 'AUX csatlakozó', 'MP3 lejátszás', '1 DIN', '6 hangszóró', 'azonnal elvihető', 'garázsban tartott', 'második tulajdonostól', 'nem dohányzó', 'rendszeresen karbantartott', 'szervizkönyv', 'törzskönyv'];1116 Budapest Törökverő utca 5.;;Személyautó;DACIA;2018.07.18;;;;107.0;Manuális;6.0;Nincs;DUSTER;Fehér;;;Fekete;;;Barna;;;;;;;;;;;;;;;;;;-2697 days +05:28:37.661634000;317 days 05:28:37.653341000
11885028;89999.0;279.0;2005.01.01;Sérült;Sedan;152000.0;5.0;4.0;1050.0;1535.0;510liter;;Benzin;1390.0;55kW,75LE;Soros;Elsőkerék;Manuális(5fokozatú)sebességváltó;Érvényes magyar okmányokkal;2019.01.01;185/65R15;Első tulajtól, balesetig napi használatban volt az autó légzsákok nem nyíltak. Megtekintéséhez időpont egyeztetés szükséges.;[]; 1173 Budapest, Régi vám köz 45;Budapest;Személyautó;DACIA;2018.07.18;;;;75.0;Manuális;5.0;Nincs;LOGAN;;;;;;;;;;;;;;;;;;;;;;;;;-4947 days +05:28:37.661634000;166 days 05:28:37.653341000
11906080;700000.0;2168.0;2004.10.01;Újszerű;Sedan;75685.0;5.0;4.0;1050.0;1535.0;510liter;;Benzin;1390.0;55kW,75LE;Soros;Elsőkerék;Manuális(5fokozatú)sebességváltó;Érvényes magyar okmányokkal;2018.10.01;165/80R14;Eladó 2009-ben vásárolt, második tulajdonostól való megkímélt, garázsban tartott, rendszeresen karbantartott, keveset futott, 6, 5 liter fogyasztású autó. Az alja alvázvédővel rendszeresen kezelt. A km óra állása valós, ellenőrizhető! Olaj és szűrők lecserélése frissen megtörtént az autón. A téli gumik felniken az autó tartozékát képezik. Az autón kisebb esztétikai hibák találhatóak: hátsó lökhárítón a vonóhorognál és az autó jobb oldalán kisebb benyomódás található, bal oldalán pedig két hosszabb karcolat van.;['dönthető utasülések', 'velúr kárpit', 'vezetőoldali légzsák', 'hátsó fejtámlák', 'pótkerék', 'fűthető szélvédő', 'ködlámpa', 'xenon fényszóró', 'fényszóró magasságállítás', 'elektromos ablak elöl', 'vonóhorog', 'indításgátló (immobiliser)', 'centrálzár', 'részecskeszűrő', 'CD-s autórádió', 'MP3 lejátszás', '2 hangszóró', 'azonnal elvihető', 'garázsban tartott', 'keveset futott', 'második tulajdonostól', 'nem dohányzó', 'rendszeresen karbantartott', 'törzskönyv'];Győr (9000);Győr;Személyautó;DACIA;2018.07.18;;;;75.0;Manuális;5.0;Nincs;LOGAN;Kék;;;Szürke;;;;;;;;;;;;;;;;;;;;;-5039 days +05:28:37.661634000;74 days 05:28:37.653341000
12129132;2599000.0;8050.0;2011.06.01;Újszerű;Várositerepjáró(crossover);104500.0;;;;;;Manuálisklíma;Dízel;1461.0;81kW,110LE;;;Manuális(6fokozatú)sebességváltó;Érvényes magyar okmányokkal;2018.06.01;;110LE! GYÁRI FÉNYEZÉS, BŐRÜLÉSEK, BŐRBEVONATÚ KORMÁNY ÉS VÁLTÓGOMB, ÜLÉSFŰTÉS, GYÁRI ALUFELNIK, GYÁRI KULCSOK, TETŐSÍNEK, GYÁRI SÖTÉTÍTETT ÜVEGEK, RENDSZERESEN SZERVIZELT (JELENLEG FRISSEN LESZERVIZELVE A RENAULTNÁL), CSALÓDÁSMENTES ÁLLAPOT, AZ AUTÓ NYÍREGYHÁZÁN TEKINTHETŐ MEG! -----------------Tekintse meg autóinkat INGYEN ÓRIÁS képeken is! KÉSZPÉNZES AUTÓFELVÁSÁRLÁS (hitellel terhelve, akár kis sérüléssel is) - HITEL ÜGYINTÉZÉS! (fix havi törlesztésű forint alapú lízing, akár 15éves korig is!) - BIZTOSÍTÁSKÖTÉS - ÉVFORDULÓS ÁTKÖTÉS - ÁTÍRÁS, ügyintézése - EREDETVIZSGÁLAT - VIZSGÁZTATÁS, akár hozott autókra is!;['állítható hátsó ülések', 'bőr belső', 'dönthető utasülések', 'ülésmagasság állítás', 'függönylégzsák', 'ISOFIX rendszer', 'oldallégzsák', 'utasoldali légzsák', 'vezetőoldali légzsák', 'állítható kormány', 'fedélzeti komputer', 'ABS (blokkolásgátló)', 'ASR (kipörgésgátló)', 'ESP (menetstabilizátor)', 'indításgátló (immobiliser)', 'centrálzár', 'szervokormány', 'részecskeszűrő', 'ködlámpa', 'esőszenzor', 'fényszóró magasságállítás', 'elektromos ablak elöl', 'elektromos ablak hátul', 'elektromos tükör', 'fűthető tükör', 'könnyűfém felni', 'színezett üveg', 'CD-s autórádió', 'autóbeszámítás lehetséges', 'azonnal elvihető', 'frissen szervizelt', 'garázsban tartott', 'nem dohányzó', 'rendszeresen karbantartott'];Nyíregyháza;;Személyautó;DACIA;2018.07.18;;;;110.0;Manuális;6.0;Nincs;DUSTER;Fekete(metál);;;;;;;;;;;;;;;;;;;;;;;;-2605 days +05:28:37.661634000;-48 days +05:28:37.653341000
12181149;1850000.0;5730.0;2012.02.01;Megkímélt;Várositerepjáró(crossover);236400.0;5.0;5.0;1160.0;1710.0;475liter;Manuálisklíma;Benzin;1598.0;77kW,105LE;Soros;Elsőkerék;Manuális(5fokozatú)sebességváltó;Forgalomból ideiglenesen kivont, magyar okmányokkal;;215/65R16;Nincs;['pótkerék', 'elektromos ablak elöl', 'ISOFIX rendszer', 'oldallégzsák', 'utasoldali légzsák', 'vezetőoldali légzsák', 'állítható kormány', 'szervokormány', 'CD-s autórádió', 'autóbeszámítás lehetséges', 'frissen szervizelt', 'Magyarországon újonnan üzembe helyezett'];Zalaegerszeg TESCO parkoló;;Személyautó;DACIA;2018.07.18;;;;105.0;Manuális;5.0;Nincs;DUSTER;;;;;;;;;;;;;;;;;;;;;;;;;-2360 days +05:28:37.661634000;
